processed 1 of 11 files
processed 11 of 11 files
         35593831 function calls (35376764 primitive calls) in 30.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.148    0.030 api.py:3(<module>)
  2035512    0.147    0.000    0.147    0.000 tokenizer.pyx:106(__get__)
    33616    0.094    0.000    0.141    0.000 lex_attrs.py:22(like_num)
        2    0.000    0.000    0.141    0.070 config.py:1(<module>)
  2030554    0.138    0.000    0.138    0.000 tokenizer.pyx:82(__get__)
      210    0.001    0.000    0.135    0.001 sre_parse.py:937(parse)
  915/210    0.005    0.000    0.133    0.001 sre_parse.py:435(_parse_sub)
 5107/418    0.049    0.000    0.132    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.129    0.129 language.py:2028(<lambda>)
        1    0.000    0.000    0.129    0.129 tokenizer.pyx:745(from_disk)
        1    0.000    0.000    0.129    0.129 tokenizer.pyx:780(from_bytes)
        1    0.000    0.000    0.126    0.126 tokenizer.pyx:35(__init__)
        5    0.000    0.000    0.126    0.025 util.py:1(<module>)
        2    0.000    0.000    0.126    0.063 tokenizer.pyx:117(__set__)
1323/1304    0.007    0.000    0.119    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.112    0.112 init_config.py:1(<module>)
66122/33616    0.050    0.000    0.104    0.000 util.py:1143(_get_attr_unless_lookup)
     1319    0.001    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
  1050176    0.098    0.000    0.098    0.000 tokenizer.pyx:495(_save_cached)
1320/1319    0.006    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        6    0.000    0.000    0.095    0.016 api.py:1(<module>)
1096/1092    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     2768    0.057    0.000    0.092    0.000 vocab.pyx:266(make_fused_token)
        1    0.000    0.000    0.091    0.091 download.py:1(<module>)
        1    0.000    0.000    0.090    0.090 __init__.py:8(<module>)
        4    0.000    0.000    0.089    0.022 numeric.py:1(<module>)
        1    0.000    0.000    0.086    0.086 _yaml_api.py:65(read_yaml)
        1    0.000    0.000    0.086    0.086 _yaml_api.py:52(yaml_loads)
        1    0.000    0.000    0.086    0.086 main.py:341(load)
        1    0.000    0.000    0.086    0.086 constructor.py:111(get_single_data)
    33616    0.066    0.000    0.084    0.000 lex_attrs.py:90(like_url)
        3    0.000    0.000    0.083    0.028 generic.py:1(<module>)
      210    0.000    0.000    0.083    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.083    0.083 composer.py:70(get_single_node)
        1    0.000    0.000    0.082    0.082 composer.py:95(compose_document)
    543/1    0.002    0.000    0.082    0.082 composer.py:109(compose_node)
    120/1    0.001    0.000    0.082    0.082 composer.py:199(compose_mapping_node)
     2265    0.015    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        1    0.000    0.000    0.077    0.077 language_distance.py:1(<module>)
 6049/210    0.020    0.000    0.077    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.076    0.076 data_dicts.py:2(<module>)
        1    0.000    0.000    0.072    0.072 pipe.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_pipe(void))
       11    0.070    0.006    0.070    0.006 tokenizer.pyx:306(_retokenize_special_spans)
        1    0.001    0.001    0.068    0.068 collocate_all_texts.py:18(<listcomp>)
  187/184    0.000    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
  187/184    0.062    0.000    0.068    0.000 {built-in method _imp.create_dynamic}
       11    0.000    0.000    0.066    0.006 collocate_single_text.py:44(clean_file)
        1    0.000    0.000    0.064    0.064 language.py:2016(deserialize_vocab)
        1    0.000    0.000    0.064    0.064 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.044    0.044    0.064    0.064 vocab.pyx:444(from_disk)
     1719    0.001    0.000    0.064    0.000 parser.py:135(check_event)
        2    0.000    0.000    0.060    0.030 callbacks.py:1(<module>)
    33616    0.040    0.000    0.059    0.000 lex_attrs.py:33(is_ascii)
        1    0.000    0.000    0.059    0.059 language.py:1(<module>)
        1    0.000    0.000    0.058    0.058 _msgpack_api.py:1(<module>)
        1    0.000    0.000    0.055    0.055 multiarray.py:1(<module>)
     2768    0.053    0.000    0.053    0.000 tokenizer.pyx:564(_validate_special_case)
    46683    0.026    0.000    0.051    0.000 util.py:1200(normalize_slice)
      121    0.000    0.000    0.051    0.000 {built-in method builtins.sorted}
5158/4898    0.004    0.000    0.051    0.000 typing.py:269(inner)
   135292    0.050    0.000    0.050    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.050    0.050 metadata.py:554(entry_points)
      259    0.000    0.000    0.050    0.000 metadata.py:559(<genexpr>)
      316    0.001    0.000    0.048    0.000 overrides.py:183(decorator)
        1    0.000    0.000    0.048    0.048 initialize.py:1(<module>)
        2    0.000    0.000    0.047    0.023 pretrain.py:1(<module>)
        1    0.000    0.000    0.046    0.046 schemas.py:1(<module>)
      900    0.003    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     6212    0.002    0.000    0.043    0.000 vocab.pyx:161(get_by_orth)
     4814    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     2245    0.037    0.000    0.042    0.000 sre_compile.py:276(_optimize_charset)
     5185    0.004    0.000    0.042    0.000 scanner.py:166(check_token)
        1    0.000    0.000    0.042    0.042 string_arrow.py:1(<module>)
    33616    0.028    0.000    0.042    0.000 lex_attrs.py:26(is_punct)
        1    0.000    0.000    0.042    0.042 compute.py:18(<module>)
     4887    0.041    0.000    0.041    0.000 {built-in method posix.stat}
      258    0.000    0.000    0.041    0.000 metadata.py:259(entry_points)
      604    0.041    0.000    0.041    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.040    0.040 frame.py:1(<module>)
    66876    0.028    0.000    0.039    0.000 lex_attrs.py:145(lower)
    32843    0.022    0.000    0.039    0.000 lookups.py:119(__contains__)
        1    0.000    0.000    0.039    0.039 _decorators.py:1(<module>)
       11    0.000    0.000    0.036    0.003 collocate_single_text.py:121(write_output)
      271    0.001    0.000    0.036    0.000 parser.py:636(parse_block_mapping_value)
       11    0.000    0.000    0.035    0.003 generic.py:3297(to_csv)
   207399    0.034    0.000    0.034    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.034    0.003 format.py:1056(to_csv)
    33616    0.016    0.000    0.033    0.000 lex_attrs.py:86(like_email)
      695    0.002    0.000    0.033    0.000 scanner.py:215(fetch_more_tokens)
        1    0.000    0.000    0.032    0.032 overrides.py:1(<module>)
       11    0.000    0.000    0.032    0.003 collocate_single_text.py:24(read_txt)
      965    0.003    0.000    0.032    0.000 textwrap.py:414(dedent)
       11    0.001    0.000    0.031    0.003 csvs.py:232(save)
52276/52198    0.018    0.000    0.031    0.000 {method 'join' of 'str' objects}
      258    0.001    0.000    0.030    0.000 metadata.py:104(_from_text)
   281638    0.029    0.000    0.029    0.000 {method 'isalpha' of 'str' objects}
        1    0.000    0.000    0.028    0.028 requirements.py:5(<module>)
       11    0.001    0.000    0.027    0.002 collocate_single_text.py:92(calc_mi)
   279207    0.027    0.000    0.027    0.000 {method 'isupper' of 'str' objects}
      391    0.002    0.000    0.026    0.000 parser.py:605(parse_block_mapping_key)
        1    0.000    0.000    0.026    0.026 util.py:1119(compile_infix_regex)
       14    0.000    0.000    0.025    0.002 config.py:372(from_str)
162486/162464    0.021    0.000    0.025    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.025    0.025 model.py:1(<module>)
        1    0.000    0.000    0.025    0.025 connectionpool.py:1(<module>)
    33616    0.018    0.000    0.024    0.000 lex_attrs.py:78(is_currency)
        2    0.000    0.000    0.024    0.012 main.py:3(<module>)
   246243    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
  848/594    0.001    0.000    0.023    0.000 typing.py:350(__getitem__)
  916/781    0.003    0.000    0.023    0.000 inspect.py:2244(_signature_from_callable)
        1    0.000    0.000    0.023    0.023 pyarrow.py:1(<module>)
      758    0.000    0.000    0.023    0.000 inspect.py:3128(signature)
        1    0.000    0.000    0.023    0.023 environment.py:1(<module>)
    60909    0.023    0.000    0.023    0.000 {method 'match' of 're.Pattern' objects}
      758    0.000    0.000    0.022    0.000 inspect.py:2876(from_callable)
        1    0.000    0.000    0.022    0.022 __init__.py:20(<module>)
