         8045514 function calls (7978869 primitive calls) in 9.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.161    0.161 _yaml_api.py:52(yaml_loads)
        1    0.000    0.000    0.161    0.161 main.py:341(load)
        1    0.000    0.000    0.160    0.160 constructor.py:111(get_single_data)
        1    0.000    0.000    0.156    0.156 composer.py:70(get_single_node)
        1    0.000    0.000    0.155    0.155 composer.py:95(compose_document)
    543/1    0.004    0.000    0.155    0.155 composer.py:109(compose_node)
    120/1    0.002    0.000    0.155    0.155 composer.py:199(compose_mapping_node)
 6054/213    0.042    0.000    0.153    0.001 sre_compile.py:71(_compile)
        1    0.000    0.000    0.144    0.144 pipe.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_pipe(void))
  187/184    0.001    0.000    0.143    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
  187/184    0.139    0.001    0.142    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.140    0.070 collocate_single_text.py:53(create_collocate_df)
        1    0.000    0.000    0.140    0.140 download.py:1(<module>)
        1    0.000    0.000    0.139    0.139 __init__.py:8(<module>)
     2300    0.027    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        2    0.000    0.000    0.128    0.064 collocate_single_text.py:46(find_target_idx)
        2    0.128    0.064    0.128    0.064 collocate_single_text.py:47(<listcomp>)
    14921    0.085    0.000    0.124    0.000 lex_attrs.py:118(word_shape)
     2768    0.075    0.000    0.122    0.000 vocab.pyx:266(make_fused_token)
      898    0.003    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.121    0.121 _msgpack_api.py:1(<module>)
     1719    0.002    0.000    0.120    0.000 parser.py:135(check_event)
        2    0.000    0.000    0.120    0.060 callbacks.py:1(<module>)
        1    0.000    0.000    0.119    0.119 language.py:1(<module>)
      898    0.116    0.000    0.116    0.000 {built-in method marshal.loads}
      177    0.001    0.000    0.105    0.001 {built-in method builtins.sorted}
        7    0.003    0.000    0.104    0.015 language.py:2036(<lambda>)
