processed 1 of 11 files
processed 11 of 11 files
         35169196 function calls (34952123 primitive calls) in 36.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33626    0.109    0.000    0.165    0.000 lex_attrs.py:22(like_num)
  1989998    0.165    0.000    0.165    0.000 tokenizer.pyx:106(__get__)
      210    0.001    0.000    0.158    0.001 sre_parse.py:937(parse)
  915/210    0.006    0.000    0.156    0.001 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.155    0.155 tokenizer.pyx:35(__init__)
 5107/418    0.046    0.000    0.154    0.000 sre_parse.py:493(_parse)
1322/1303    0.008    0.000    0.147    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.147    0.147 language.py:2028(<lambda>)
        1    0.000    0.000    0.147    0.147 tokenizer.pyx:745(from_disk)
        1    0.000    0.000    0.147    0.147 tokenizer.pyx:780(from_bytes)
        2    0.000    0.000    0.143    0.071 tokenizer.pyx:117(__set__)
        5    0.000    0.000    0.142    0.028 util.py:1(<module>)
66142/33626    0.060    0.000    0.129    0.000 util.py:1143(_get_attr_unless_lookup)
        6    0.000    0.000    0.128    0.021 api.py:1(<module>)
        3    0.000    0.000    0.125    0.042 generic.py:1(<module>)
     1318    0.001    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
1319/1318    0.014    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        1    0.000    0.000    0.118    0.118 init_config.py:1(<module>)
        1    0.003    0.003    0.111    0.111 collocate_all_texts.py:16(<listcomp>)
  1028159    0.110    0.000    0.110    0.000 tokenizer.pyx:495(_save_cached)
     2768    0.066    0.000    0.108    0.000 vocab.pyx:266(make_fused_token)
      899    0.002    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       11    0.000    0.000    0.107    0.010 collocate_single_text.py:31(clean_file)
      899    0.104    0.000    0.104    0.000 {built-in method marshal.loads}
1095/1091    0.002    0.000    0.102    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      316    0.001    0.000    0.101    0.000 overrides.py:183(decorator)
    33626    0.078    0.000    0.100    0.000 lex_attrs.py:90(like_url)
      210    0.000    0.000    0.098    0.000 sre_compile.py:598(_code)
        4    0.000    0.000    0.095    0.024 numeric.py:1(<module>)
     2264    0.019    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        1    0.000    0.000    0.094    0.094 language.py:2016(deserialize_vocab)
        1    0.000    0.000    0.094    0.094 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.070    0.070    0.094    0.094 vocab.pyx:444(from_disk)
        1    0.000    0.000    0.093    0.093 _msgpack_api.py:1(<module>)
      604    0.093    0.000    0.093    0.000 {built-in method builtins.compile}
 6049/210    0.022    0.000    0.091    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.091    0.091 _yaml_api.py:65(read_yaml)
        1    0.000    0.000    0.090    0.090 _yaml_api.py:52(yaml_loads)
        1    0.000    0.000    0.090    0.090 main.py:341(load)
        1    0.000    0.000    0.090    0.090 constructor.py:111(get_single_data)
        1    0.000    0.000    0.089    0.089 download.py:1(<module>)
       11    0.000    0.000    0.089    0.008 collocate_single_text.py:76(write_output)
        1    0.000    0.000    0.089    0.089 __init__.py:8(<module>)
       11    0.000    0.000    0.088    0.008 generic.py:3297(to_csv)
        2    0.000    0.000    0.088    0.044 shape_base.py:1(<module>)
        1    0.000    0.000    0.086    0.086 composer.py:70(get_single_node)
       11    0.000    0.000    0.086    0.008 format.py:1056(to_csv)
        1    0.000    0.000    0.086    0.086 language_distance.py:1(<module>)
        1    0.000    0.000    0.086    0.086 composer.py:95(compose_document)
    543/1    0.002    0.000    0.086    0.086 composer.py:109(compose_node)
    120/1    0.001    0.000    0.086    0.086 composer.py:199(compose_mapping_node)
        1    0.000    0.000    0.085    0.085 data_dicts.py:2(<module>)
        1    0.000    0.000    0.084    0.084 fromnumeric.py:1(<module>)
   135316    0.083    0.000    0.083    0.000 {method 'lower' of 'str' objects}
       11    0.000    0.000    0.082    0.007 csvs.py:232(save)
        1    0.000    0.000    0.082    0.082 pipe.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_pipe(void))
      121    0.001    0.000    0.081    0.001 {built-in method builtins.sorted}
        1    0.000    0.000    0.080    0.080 metadata.py:554(entry_points)
      255    0.001    0.000    0.079    0.000 metadata.py:559(<genexpr>)
       11    0.079    0.007    0.079    0.007 tokenizer.pyx:306(_retokenize_special_spans)
  187/184    0.001    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
  187/184    0.068    0.000    0.073    0.000 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.068    0.034 callbacks.py:1(<module>)
     1719    0.001    0.000    0.067    0.000 parser.py:135(check_event)
        1    0.000    0.000    0.067    0.067 language.py:1(<module>)
    33626    0.045    0.000    0.067    0.000 lex_attrs.py:33(is_ascii)
      254    0.000    0.000    0.066    0.000 metadata.py:259(entry_points)
        1    0.000    0.000    0.064    0.064 frame.py:1(<module>)
      301    0.056    0.000    0.063    0.000 {built-in method io.open}
     2768    0.062    0.000    0.062    0.000 tokenizer.pyx:564(_validate_special_case)
5156/4896    0.005    0.000    0.058    0.000 typing.py:269(inner)
    46682    0.028    0.000    0.057    0.000 util.py:1200(normalize_slice)
       11    0.000    0.000    0.055    0.005 common.py:521(get_handle)
        1    0.000    0.000    0.054    0.054 initialize.py:1(<module>)
      899    0.003    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        2    0.000    0.000    0.053    0.027 pretrain.py:1(<module>)
        1    0.000    0.000    0.053    0.053 _decorators.py:1(<module>)
        1    0.000    0.000    0.052    0.052 schemas.py:1(<module>)
      965    0.005    0.000    0.052    0.000 textwrap.py:414(dedent)
     2245    0.046    0.000    0.052    0.000 sre_compile.py:276(_optimize_charset)
    32853    0.029    0.000    0.051    0.000 lookups.py:119(__contains__)
     6212    0.002    0.000    0.051    0.000 vocab.pyx:161(get_by_orth)
     4811    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      254    0.001    0.000    0.049    0.000 metadata.py:104(_from_text)
    33626    0.032    0.000    0.049    0.000 lex_attrs.py:26(is_punct)
