name,degree_centrality,betweenness_centrality,eigenvector_centrality
KingRichard,0.43243243243243246,0.35162305162305163,0.3865927690428731
Bolingbroke,0.5135135135135136,0.2632167882167882,0.44489696516298366
Queen,0.21621621621621623,0.25237737737737737,0.18115193659006587
Aumerle,0.35135135135135137,0.13448090948090946,0.3105827482031678
York,0.2702702702702703,0.10898040898040898,0.29559814007614604
Marshal,0.1891891891891892,0.10833333333333334,0.19515768297677433
Gardener,0.08108108108108109,0.1066066066066066,0.024270441803174503
Exton,0.10810810810810811,0.1066066066066066,0.11140017175423954
Northumberland,0.24324324324324326,0.06329901329901332,0.2563348125842542
Gaunt,0.13513513513513514,0.05630630630630631,0.17412930383643616
Salisbury,0.08108108108108109,0.05405405405405406,0.09181253559747733
Bushy,0.16216216216216217,0.011472186472186473,0.21160141317273165
Green,0.13513513513513514,0.00972043472043472,0.1777140442681299
Fitzwater,0.08108108108108109,0.006156156156156155,0.10478622245525761
Carlisle,0.13513513513513514,0.004804804804804805,0.19704099679014608
Bagot,0.10810810810810811,0.0015515515515515514,0.14823263109571527
Willoughby,0.10810810810810811,0.001001001001001001,0.14323129085636174
Percy,0.08108108108108109,0.0005505505505505505,0.1310133009653847
1Servant,0.02702702702702703,0.0,0.014424593507245382
2Servant,0.02702702702702703,0.0,0.014424593507245382
DuchessOfYork,0.08108108108108109,0.0,0.13609743546091946
Abbot,0.08108108108108109,0.0,0.12333577191556275
Groom,0.05405405405405406,0.0,0.05750375289938972
Surrey,0.05405405405405406,0.0,0.05378340287495748
2Man,0.02702702702702703,0.0,0.003142743878950773
1Man,0.02702702702702703,0.0,0.003142743878950773
Berkeley,0.05405405405405406,0.0,0.09079793680755675
2Lady,0.02702702702702703,0.0,0.02345648888427482
1Lady,0.02702702702702703,0.0,0.02345648888427482
Scroop,0.05405405405405406,0.0,0.09027316663686816
WelshCaptain,0.02702702702702703,0.0,0.011888323484818303
Servingman,0.02702702702702703,0.0,0.038275232665184074
Ross,0.08108108108108109,0.0,0.10934392195175999
1Herald,0.05405405405405406,0.0,0.029028750900137547
2Herald,0.05405405405405406,0.0,0.029028750900137547
DuchessGlouc,0.02702702702702703,0.0,0.022547040620750306
Mowbray,0.08108108108108109,0.0,0.13293456291572509
Keeper,0.05405405405405406,0.0,0.05750375289938972
