name,degree_centrality,betweenness_centrality,eigenvector_centrality
Prince,0.47058823529411764,0.3959129106187931,0.42060160105125677
Hotspur,0.4411764705882353,0.3566972243442831,0.34025489624050026
Gadshill,0.23529411764705882,0.2107843137254902,0.1896347665907405
Falstaff,0.3529411764705882,0.1830404889228418,0.35952998867150393
1Carrier,0.08823529411764705,0.0552584670231729,0.031666919558004485
Worcester,0.2647058823529412,0.05461336049571343,0.2648203148369441
King,0.2647058823529412,0.04867583396995162,0.310495915497257
Douglas,0.1764705882352941,0.014090484678719975,0.2269160607038087
Bardolph,0.20588235294117646,0.011734997029114675,0.2181209352406233
Peto,0.1764705882352941,0.007575757575757575,0.20549659848748975
Poins,0.11764705882352941,0.0029708853238265,0.15167921726082517
1Traveler,0.11764705882352941,0.0017825311942959,0.13678407540640622
2Traveler,0.11764705882352941,0.0017825311942959,0.13678407540640622
Mortimer,0.08823529411764705,0.00089126559714795,0.09365826184511213
Chamberlain,0.029411764705882353,0.0,0.02666498914593124
2Carrier,0.058823529411764705,0.0,0.03111792234995371
3Messenger,0.029411764705882353,0.0,0.047843110997548975
2Messenger,0.029411764705882353,0.0,0.047843110997548975
SirMichael,0.029411764705882353,0.0,6.643325333751816e-10
Archbishop,0.029411764705882353,0.0,6.643325333751816e-10
Vernon,0.08823529411764705,0.0,0.11698581117208981
1Messenger,0.058823529411764705,0.0,0.08507931439315834
Northumberland,0.08823529411764705,0.0,0.12873795585234415
Glendower,0.058823529411764705,0.0,0.06101236894181176
3Carrier,0.058823529411764705,0.0,0.06881702641680776
Sheriff,0.058823529411764705,0.0,0.06881702641680776
Hostess,0.08823529411764705,0.0,0.14036462462735363
Vintner,0.029411764705882353,0.0,0.05914073253876224
Francis,0.058823529411764705,0.0,0.08046834649305053
Servant,0.029411764705882353,0.0,0.047843110997548975
LadyPercy,0.029411764705882353,0.0,0.047843110997548975
Westmorland,0.08823529411764705,0.0,0.153353083449317
Blunt,0.11764705882352941,0.0,0.1606444526312756
Ostler,0.029411764705882353,0.0,0.00445293320406302
Lancaster,0.08823529411764705,0.0,0.153353083449317
