collocate,collocate_count,corpus_count,MI
possession,1,7,4.276794768291568
like,2,656,-1.2734023142689121
nay,1,126,0.10686976684925491
almost,1,80,0.7622215954618092
about,3,544,-0.41835065018001183
few,2,56,2.2767947682915675
later,1,11,3.6247180717118743
next,2,85,1.6747587542114697
yours,1,21,2.6918322675704114
sense,1,95,0.5142940820182237
mutual,1,8,4.084149690349172
excludes,1,1,7.084149690349172
feelings,1,68,0.9966868490988321
hearts,1,19,2.836222176905586
after,1,283,-1.060508552482711
equal,1,7,4.276794768291568
know,3,454,-0.15743629622058733
happiness,1,32,2.0841496903491716
friends,1,51,1.411724348377676
perfect,1,18,2.914224688906859
wait,1,27,2.329262188185703
thing,1,167,-0.2995546021248808
feathers,1,9,3.9142246889068595
ud,1,148,-0.12530367527977831
performance,1,4,5.084149690349172
rose,1,54,1.329262188185703
words,1,166,-0.2908897409977533
torn,1,3,5.499187189628016
away,1,275,-1.0191381180628505
verge,1,2,6.084149690349171
brought,1,101,0.4259382075973767
despair,1,16,3.084149690349171
found,1,70,0.954866673404205
gentle,1,21,2.6918322675704114
